"icao","counts","latitude","longitude"
"enor",697,69.2591,29.2779
"enor",698,69.256,29.278
"enor",699,69.2535,29.2799
"enor",700,69.2526,29.2813
"enor",701,69.2516,29.2816
"enor",702,69.25,29.2847
"enor",703,69.2493,29.2847
"enor",704,69.2471,29.2868
"enor",705,69.2463,29.2879
"enor",706,69.2452,29.2918
"enor",707,69.2433,29.3009
"enor",708,69.2413,29.3068
"enor",709,69.2402,29.3089
"enor",710,69.239,29.3104
"enor",711,69.238,29.3124
"enor",712,69.2366,29.3135
"enor",713,69.234,29.3139
"enor",714,69.2287,29.3133
"enor",715,69.2273,29.312
"enor",716,69.2219,29.3036
"enor",717,69.2205,29.3025
"enor",718,69.2166,29.3006
"enor",719,69.213,29.3018
"enor",720,69.2119,29.3026
"enor",721,69.2108,29.3053
"enor",722,69.2098,29.3056
"enor",723,69.209,29.3038
"enor",724,69.2081,29.2983
"enor",725,69.2075,29.2958
"enor",726,69.2065,29.2932
"enor",727,69.2052,29.2926
"enor",728,69.2041,29.2928
"enor",729,69.2,29.2948
"enor",730,69.1984,29.2962
"enor",731,69.1975,29.2963
"enor",732,69.1964,29.2955
"enor",733,69.1932,29.2903
"enor",734,69.1921,29.2906
"enor",735,69.1905,29.2917
"enor",736,69.1892,29.2934
"enor",737,69.1869,29.2949
"enor",738,69.1829,29.2925
"enor",739,69.179,29.2893
"enor",740,69.1753,29.2854
"enor",741,69.1673,29.2732
"enor",742,69.165,29.2691
"enor",743,69.1641,29.2665
"enor",744,69.163,29.2599
"enor",745,69.1627,29.2546
"enor",746,69.1622,29.2496
"enor",747,69.1613,29.2481
"enor",748,69.1605,29.2491
"enor",749,69.1584,29.2529
"enor",750,69.1556,29.2572
"enor",751,69.155,29.2575
"enor",752,69.1537,29.2571
"enor",753,69.1517,29.2531
"enor",754,69.1503,29.2514
"enor",755,69.1468,29.2463
"enor",756,69.1445,29.2451
"enor",757,69.1411,29.2415
"enor",758,69.1387,29.2396
"enor",759,69.1372,29.239
"enor",760,69.1363,29.2394
"enor",761,69.1357,29.2402
"enor",762,69.1312,29.2438
"enor",763,69.1293,29.2443
"enor",764,69.1286,29.2438
"enor",765,69.1276,29.2429
"enor",766,69.1264,29.2407
"enor",767,69.1257,29.24
"enor",768,69.1252,29.2387
"enor",769,69.1251,29.2356
"enor",770,69.1245,29.2324
"enor",771,69.122,29.2311
"enor",772,69.1211,29.2313
"enor",773,69.1198,29.2355
"enor",774,69.113,29.2423
"enor",775,69.0669,29.1594
"enor",776,69.063,29.142
"enor",777,69.0394,29.0942
"enor",778,69.015,29.0566
"enor",779,69.0106,29.0413
"enor",780,69.0251,29.0197
"enor",781,69.0519,28.9292
"enor",782,69.0772,28.8583
"enor",783,69.0922,28.8319
"enor",784,69.1061,28.8181
"enor",785,69.1275,28.8078
"enor",786,69.1439,28.8139
"enor",787,69.1589,28.8178
"enor",788,69.1597,28.8181
"enor",789,69.1792,28.8264
"enor",790,69.1931,28.8272
